area,section,page,address,address_hex,length_hex,type,rio_confidence,description
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0000,FFFFF0300000,4,UI,explicit_or_general,Memory Map revision number
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0004,FFFFF0300004,4,UI,explicit_or_general,Powerup Clear flag (0 = OK; anything else means a Powerup Clear is needed)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0008,FFFFF0300008,4,UI,explicit_or_general,Busy flag (0 = not busy; anything else means the unit is busy and cannot process your request)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 000C,FFFFF030000C,4,I,explicit_or_general,Last error code (see page 107)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0010,FFFFF0300010,2,UI,explicit_or_general,Transaction label for previous transaction (lower 6 bits)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0012,FFFFF0300012,2,UI,explicit_or_general,Source address of the unit that sent the request. Zero-filled unless you use the optional Source_ID parameter in the packet. See “Parameters” on page 103.
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0014,FFFFF0300014,4,UI,explicit_or_general,Error address for last error (lower 32 bits of offset)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0018,FFFFF0300018,4,UI,explicit_or_general,"Loader revision. 1st byte: major version number; 2nd byte: minor version number; 3rd byte: revision (0=A, 1=B, 2=R); 4th byte: letter (0=a, 1=b, 2=c, etc.) Note: For groov, this value is always 0 (zero)."
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 001C,FFFFF030001C,4,IP,explicit_or_general,"Firmware (kernel) revision. 1st byte: major version number; 2nd byte: minor version number; 3rd byte: revision (0=A, 1=B, 2=R); 4th byte: letter (0=a, 1=b, 2=c, etc.)"
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0020,FFFFF0300020,4,UI,explicit_or_general,Unit type of the device:
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0024,FFFFF0300024,1,UI,explicit_or_general,Hardware revision (Month)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0025,FFFFF0300025,1,UI,explicit_or_general,Hardware revision (Day)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0026,FFFFF0300026,2,UI,explicit_or_general,Hardware revision (Year)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 0028,FFFFF0300028,4,UI,explicit_or_general,Number of bytes of installed RAM
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 002C,FFFFF030002C,2,–,explicit_or_general,Pad for alignment (Does not apply to SBs.)
status_read,STATUS AREA READ—READ ONLY,123,FFFF F030 002E,FFFFF030002E,6,UI,explicit_or_general,ENET1 MAC address. First three bytes of all Opto 22 Ethernet devices’ MAC addresses are 00-A0-3D. (Does not apply to SBs.) PR1/2 RIO PAC-R PAC-S EB SB UIO EIO SIO LCE E1 E2 G4EB2 0x0000004E = SNAP-PAC-R1-B 0x00000052 = OPTOEMU-SNR-DR2 0x00000056 = OPTOEMU-SNR-DR1 0x00000058 = G4EB2 0x0000005A = OPTOEMU-SNR-3V 0x0000005C = SNAP-PAC-SRA 0x00000062 = SNAP-PAC-SB2 0x00000064 = SNAP-PAC-SB1 0x00000066 = SNAP-PAC-R2-W 0x00000068 = SNAP-PAC-R1-W 0x0000006A = SNAP-PAC-S1-W 0x0000006C = SNAP-PAC-S2-W 0x00000070 = SNAP-PAC-EB2-W 0x00000072 = SNAP-PAC-EB1-W 0x00000074 = SNAP-PAC-EB2 0x00000076 = SNAP-PAC-EB1 0x00000078 = SNAP-PAC-R2 0x0000007A = SNAP-PAC-R1 0x0000007C = SNAP-PAC-S1 0x00000083 = SNAP-ENET-S64 0x0000008A = SNAP-UPN-ADS 0x0000008C = SNAP-UP1-M64 0x00000092 = SNAP-UP1-D64 0x00000093 = SNAP-UP1-ADS 0x00000094 = SNAP-WLAN-FH-ADS 0x00000097 = SNAP-ENET-D64 0x00000098 = SNAP-B3000-ENET or SNAP-ENET-RTC 0x000000E1 = E1 0x000000E2 = E2 0x00000101 = GRV-EPIC-PR1 0x00000103 = GRV-R7-MM1001-10 0x00000107 = GRV-EPIC-PR2 0x00000108 = GRV-R7-MM2001-10 0x00000193 = SNAP-LCE
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0034,FFFFF0300034,4,IP,explicit_or_general,"ENET1 TCP/IP address (1.2.3.4 format: four 1-byte integers) (Not for SBs) (For ENET2, see FFFF F050.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0038,FFFFF0300038,4,IP,explicit_or_general,ENET1 TCP/IP subnet mask (1.2.3.4 format: four 1-byte integers) (Not for SBs)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 003C,FFFFF030003C,4,IP,explicit_or_general,ENET1 TCP/IP default gateway (1.2.3.4 format: four 1-byte integers) (Not for SBs)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0040,FFFFF0300040,4,IP,explicit_or_general,ENET1 DNS server address (1.2.3.4 format: four 1-byte integers) (Not for SBs)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0044,FFFFF0300044,4,–,explicit_or_general,Reserved
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0048,FFFFF0300048,4,UI,explicit_or_general,"Device sends BootP request (UIO, EIO, SIO, LCE) or DHCP request (E1, E2) when turned on: 0 = Only if device’s IP address is 0.0.0.0. (Current IP address is static.) 1 = Whenever device is turned on. (Current IP address is dynamic.) (Does not apply to SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 004C,FFFFF030004C,4,B,explicit_or_general,Degrees are in F or C (Valid only for I/O unit with analog capability) 0 = degrees C; non-0 = degrees F
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0050,FFFFF0300050,4,–,explicit_or_general,Reserved
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0054,FFFFF0300054,4,UI,explicit_or_general,Watchdog time in milliseconds (unsigned integer). 0 means watchdog is disabled.
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0058,FFFFF0300058,4,UI,explicit_or_general,"TCP/IP minimum Response Timeout (RTO) in milliseconds. TCP/IP calculates the RTO based on past network response times. The default is a minimum 3000 msec between retries. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 005C,FFFFF030005C,4,UI,explicit_or_general,Digital scan counter. Counts the number of scans of these digital modules; can be used for benchmarking. (Does not apply to groov Simple modules or E1s.)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0060,FFFFF0300060,4,UI,explicit_or_general,Analog and digital scan counter. Counts the number of scans of analog and HDD modules; can be used for benchmarking. (Does not apply to groov Simple modules.)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0064,FFFFF0300064,4,UI,explicit_or_general,"Initial RTO. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0068,FFFFF0300068,4,UI,explicit_or_general,"TCP number of retries. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 006C,FFFFF030006C,4,UI,explicit_or_general,"TCP idle session timeout. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0070,FFFFF0300070,4,UI,explicit_or_general,"Ethernet errors: late collisions. This and the next two sets of addresses indicate problems on the Ethernet network, often due to length of the segment or number of devices. Late collisions are not normal. Normally two Ethernet hosts trying to talk at once collide early in the packet and both back off, or the second host waits. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0074,FFFFF0300074,4,UI,explicit_or_general,"Ethernet errors: excessive collisions. Indicate that all the backup attempts to communicate have been exhausted. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0078,FFFFF0300078,4,UI,explicit_or_general,"Ethernet errors: other. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 007C,FFFFF030007C,4,M,explicit_or_general,"“Smart” modules present. Bitmask showing the presence of analog, serial, high-density digital, and PID modules. Present = 1; not present = 0. Use as a troubleshooting tool to make sure modules are online. Note that all groov I/O and groov RIO modules are “smart.” (Does not apply to E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 0080,FFFFF0300080,20,S-ZT,explicit_or_general,Device’s part number (string)
status_read,STATUS AREA READ—READ ONLY,124,FFFF F030 00A0,FFFFF03000A0,10,S-ZT,explicit_or_general,Firmware version date
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 00B0,FFFFF03000B0,10,S-ZT,explicit_or_general,Firmware version time
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0100,FFFFF0300100,4,UI,explicit_or_general,"ARCNET reconfigs detected. Indicates that a “smart” module (analog, serial, high-density digital) has been added, removed, or reset. This and the other addresses starting with ARCNET refer to the ARCNET bus used on the rack for communication between the I/O processor and I/O modules. (Does not apply to E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0104,FFFFF0300104,4,UI,explicit_or_general,"ARCNET reconfigs initiated by I/O unit. Error on the rack’s ARCNET bus. (Does not apply to E1s, E2s, G4EB2s.) Not a concern unless it happens frequently. If there are no analog, serial, high-density digital, or PID modules on the rack, ignore it. If there is at least one of these modules on the rack, make sure the rack has adequate voltage."
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0108,FFFFF0300108,4,UI,explicit_or_general,"Number of times the device closed the session because it was idle. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 010C,FFFFF030010C,4,UI,explicit_or_general,"Milliseconds since powerup. Value rolls over after 4,294,967,295 ms, which is equal to 49.71 days. For longer periods of time, use address F030 0160 (in seconds) or F030 0228 (64-bit field, in milliseconds). (Does not apply to E1s or E2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0110,FFFFF0300110,4,UI,explicit_or_general,"Ethernet MAC resets since powerup. Caused by electrical noise. (Does not apply to E1s, E2s, SBs.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0114,FFFFF0300114,4,UI,explicit_or_general,"Digital output channel resets since powerup. Caused by electrical noise. (Does not apply to groov channels, E1s, or E2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0118,FFFFF0300118,4,UI,explicit_or_general,"Digital interrupt failures since powerup. Digital counter may have missed counts. (Does not apply to groov channels, E1s, or E2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 011C,FFFFF030011C,4,UI,explicit_or_general,"Total number of PID loops available on this I/O unit (96 for SNAP PAC R-series, 32 for UIO, 16 for EIO, none for other I/O units)."
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0120,FFFFF0300120,4,UI,explicit_or_general,"ARCNET transmit attempts since powerup. (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0124,FFFFF0300124,4,UI,explicit_or_general,"ARCNET other (node not found, etc.). (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0128,FFFFF0300128,4,UI,explicit_or_general,"ARCNET ACKs. (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 012C,FFFFF030012C,4,UI,explicit_or_general,"ARCNET delay between transmit attempt and ACK for most recent attempt. (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0130,FFFFF0300130,4,UI,explicit_or_general,"ARCNET timeout value (msec.). (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0134,FFFFF0300134,4,UI,explicit_or_general,"ARCNET timeouts. (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0138,FFFFF0300138,4,UI,explicit_or_general,"ARCNET receive interrupts. (Not on E1s, E2s, G4EB2s.)"
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 013C,FFFFF030013C,4,–,explicit_or_general,Reserved
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0140,FFFFF0300140,4,F,explicit_or_general,Milliseconds per analog/HDD scan. Value of -1 means scanner is not running.
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0144,FFFFF0300144,4,F,explicit_or_general,Milliseconds per digital (4-ch) scan. Value of -1 means scanner is not running. (Does not apply to groov channels.)
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 0148,FFFFF0300148,4,UI,explicit_or_general,"Number of single or 4-channel digital modules supported (0, 8, or 16). Useful for SNAP-PAC-R1s; R1s with serial numbers below 600,000 support only 8 (in the first 8 rack positions); newer modules support 16. Added in SNAP firmware R8.1; older SNAP firmware doesn’t include this address."
status_read,STATUS AREA READ—READ ONLY,125,FFFF F030 014C,FFFFF030014C,4,UI,explicit_or_general,"(groov EPIC, groov RIO, and SB brains) Unique serial number (note that SB brains do not have a MAC address)."
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0160,FFFFF0300160,4,UI,explicit_or_general,"Elapsed time since powerup (in seconds). Use instead of F030 010C for longer periods of time. Value rolls over after 4,294,967,295 seconds, which is equal to 49,710 days. (Does not apply to E1s or E2s.)"
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0164,FFFFF0300164,C4,–,explicit_or_general,Reserved
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0228,FFFFF0300228,8,UI,explicit_or_general,"Milliseconds since powerup. Use instead of F030 010C for longer periods of time in milliseconds. Value rolls over after 584,542,046 years. (Does not apply to E1s or E2s.)"
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0234,FFFFF0300234,14,–,explicit_or_general,Reserved
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0248,FFFFF0300248,4,I,explicit_or_general,"Result of some Status Area Write commands (F0380000 on page 133). Results apply only to commands 03, 04, 0D, 0E, 0F, and 10. 0 = Operation was successful. -109 = microSD card is read only. -110 = microSD card is not inserted. -111 = Controller doesn't support microSD cards."
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 024C,FFFFF030024C,4,UI,explicit_or_general,"Firmware revision. 1st byte: major version number; 2nd byte: minor version number; 3rd byte: revision (0=A, 1=B, 2=R); 4th byte: letter (0=a, 1=b, 2=c, and so forth)"
status_read,MODULE BUILD DATA–READ ONLY,126,FFFF F030 0250,FFFFF0300250,4,UI,explicit_or_general,The number of writes to permanent storage (may also be referred to as flash memory) since the last power up. Last valid address for this area: FFFF F030 0254
status_write,STATUS AREA WRITE—READ/WRITE,133,FFFF F038 0000,FFFFF0380000,4,UI,explicit_or_general,"Operation code (Some results returned in F0300248, page 126.) 0x00000001 – Send Powerup Clear 0x00000002 – Reset to defaults (clears I/O configuration and erases it from flash; also clears scratch pad areas, PIDs, and TPOs.) CAUTION: See “Details on Operation Codes in Address F0380000” on page 135. 0x00000003 – Stores scratch pad areas to flash. (For groov I/O units only, all remaining configuration areas are autosaved to flash.) CAUTION: See details on page 135. 0x00000004 – Erase all configuration from flash memory and microSD card. CAUTION: See details on page 135. The following address spaces do not apply to groov I/O or RIO units: 0x00000005 – Reset hardware, which is just like cycling power to the device. If channel configuration information has not been stored to flash or flash has been cleared (op code 04), channels are reset to defaults. After a hardware reset, the device waits for a Powerup Clear before communicating. 0x00000006 – Clear “Digital Events - Old” configuration (for expanded digital events in SNAP firmware R8.1 or higher, use 0x0000000A below). 0x00000007 – Clear Alarms configuration. 0x00000008 – Clear PPP configuration. (Not on EB, SB, G4EB2.) 0x00000009 – Clear Email configuration. (Does not apply to SB.) 0x0000000A – Clear “Digital Events - Expanded” configuration (For SNAP firmware R8.0 and lower, clears Timers configuration). 0x0000000B – Clear PID loops configuration (analog devices only). 0x0000000C – Clear data log. 0x0000000D – Save configuration and IP address to microSD card. See details on page 135. 0x0000000E – Erase configuration and IP address from microSD card. See details on page 135. 0x0000000F – Erase firmware from microSD card. See page 135. 0x00000010 – Erase strategy from microSD card. See page 135. 0x87654321 – Boot to loader. (UIO, EIO, SIO, and LCE only)"
status_write,STATUS AREA WRITE—READ/WRITE,133,FFFF F038 0004,FFFFF0380004,4,UI,explicit_or_general,Set device to send BootP or DHCP request when turned on. 0 (default for all except E1 & E2) = Send BootP or DHCP request only if device’s IP address is 0.0.0.0. Current IP address is saved to flash memory and becomes a static IP address. 1 (default for E1 & E2) = Always send BootP or DHCP request when device is turned on. IP address is dynamic (temporary). (Does not apply to SBs.)
status_write,STATUS AREA WRITE—READ/WRITE,133,FFFF F038 0008,FFFFF0380008,4,B,explicit_or_general,Set degrees in F or C. 0 (default) = degrees C; non-0 = degrees F
status_write,STATUS AREA WRITE—READ/WRITE,133,FFFF F038 000C,FFFFF038000C,4,–,explicit_or_general,Reserved PR1/2 RIO PAC-R PAC-S EB SB UIO EIO SIO LCE E1 E2 G4EB2
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0010,FFFFF0380010,4,UI,explicit_or_general,Set watchdog time in milliseconds (unsigned integer). 0 disables watchdog.
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0014,FFFFF0380014,4,UI,explicit_or_general,"Set TCP/IP minimum Response Timeout (RTO) in milliseconds. (Does not apply to E1s, E2s, or SBs.) For SNAP PAC R-series, SNAP PAC EB, SNAP Ultimate, and SNAP Simple I/O units, the default is a minimum 100 msec between retries. For SNAP Ethernet I/O units, the default is a minimum 3000 msec between retries. For a high-speed application such as motion control, you can write a lower minimum RTO to this address."
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0018,FFFFF0380018,4,UI,explicit_or_general,"Set TCP/IP initial RTO. (Does not apply to E1s, E2s, or SBs.)"
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 001C,FFFFF038001C,4,UI,explicit_or_general,"Set TCP/IP number of retries. (Does not apply to E1s, E2s, or SBs.)"
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0020,FFFFF0380020,4,UI,explicit_or_general,"TCP idle session timeout in milliseconds. 0 = disable. (Does not apply to E1s, E2s, or SBs.)"
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0024,FFFFF0380024,4,UI,explicit_or_general,Wireless configuration: mode (Does not apply to SBs.)
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0028,FFFFF0380028,4,UI,explicit_or_general,Wireless configuration: ESS identification (Does not apply to SBs.)
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 002C,FFFFF038002C,20,–,explicit_or_general,Reserved
status_write,STATUS AREA WRITE—READ/WRITE,134,FFFF F038 0060,FFFFF0380060,F4,–,explicit_or_general,"Reserved Details on Operation Codes in Address F0380000 NOTE: Many of these op codes affect a microSD card, if the device has one. See the device’s user’s guide for important information before using the card. Results for op codes 03, 04, 0D, 0E, 0F, 10, and 11 are returned in F0300248 (see page 126). 0x02—Resets device to defaults (equivalent to an 04 op code followed by an 05). Requires a Powerup Clear after resetting. CAUTION: If you have SNAP firmware 9.0 or newer and a microSD card is present, this code also erases any firmware, strategy, IP address, and configuration data from the card. This code does not erase other data files on the microSD card. If you have older SNAP firmware versions, these files on the microSD card are not erased. 0x03—Stores all configuration data to flash memory, so it is restored when the device is turned on. CAUTION: If you have SNAP firmware 9.0 or newer and a microSD card is present, and if the card already has IP address and configuration data stored on it (see op code 0D), code 03 also overwrites the configuration data and IP address on the card with the new configuration. Exception: On a controller using Secure Strategy Distribution (SSD), configuration data is stored to flash but not to the microSD card. Other data files on the microSD card are not affected. If you have older SNAP firmware versions, nothing is saved to the microSD card. 0x04—Erases all configuration data from flash memory and microSD card. Details: • Erases all IP address and configuration data from the microSD card, if one is present and has IP and configuration data stored on it (see op code 0D). Firmware and strategy files on the card are not erased. Other data files are not erased. • Clears error information in the status area (F030000C, etc.: error code, transaction label, source address, error address). • Clears gains and offsets, latches, min/max data, and counters. Deactivates counters. • Turns off digital outputs. • Sets analog outputs to zero scale (0 counts). 0x0D—Requires SNAP firmware 9.0 or newer. Applies only to devices with a microSD card slot and a card in place. Stores the controller’s IP address and configuration data on the microSD card. Exception: Data is not stored to a card in a controller using Secure Strategy Distribution (SSD)."
status_write,STATUS AREA WRITE—READ/WRITE,135,FFFF F038 0154,FFFFF0380154,40,S-ZT,explicit_or_general,Host Name (E1 and E2 only). Used only if the unit has a dynamic IP address assigned by the network.
status_write,STATUS AREA WRITE—READ/WRITE,135,FFFF F038 0194,FFFFF0380194,100,S-ZT,explicit_or_general,Domain Name (E1 and E2 only).
status_write,STATUS AREA WRITE—READ/WRITE,135,FFFF F038 0298,FFFFF0380298,4,F,explicit_or_general,"Value shown for modules that return a 16-bit value to the brain, when actual value is out of range. Default is –32,768"
status_write,STATUS AREA WRITE—READ/WRITE,135,FFFF F038 02B0,FFFFF03802B0,4,F,explicit_or_general,"Value shown for modules that return a 32-bit value to the brain, when actual value is out of range. Default is –2,147,483,648 Last valid address for this area: FFFF F038 02B3"
modbus,NETWORK SECURITY CONFIGURATION—READ/WRITE,136,FFFF F039 0000,FFFFF0390000,4,UI,explicit_or_general,"Modbus float format (unsigned integer) 0x00000000 = Big Endian 0x00000001 = Big Endian, word swapped. Most significant bit of float is in most significant register. Last valid address for this area: FFFF F039 0003 PR1/2 RIO PAC-R EB UIO EIO SIO E1 E2 G4EB2"
streaming_config,STREAMING CONFIGURATION—READ/WRITE,152,FFFF F03F FFC0,FFFFF03FFFC0,4,–,explicit_or_general,Reserved
streaming_config,STREAMING CONFIGURATION—READ/WRITE,152,FFFF F03F FFC4,FFFFF03FFFC4,4,B,explicit_or_general,Enable or disable I/O mirroring (Boolean) 0 = disable; non-0 = enable PR1/2 RIO PAC-R EB UIO EIO SIO G4EB2
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFC8,FFFFF03FFFC8,4,UI,explicit_or_general,Beginning address of the data you want to stream. Do not use if you are streaming the entire streaming section shown on page 172. Use only to stream a portion of the streaming section or some other portion of the memory map.
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFCC,FFFFF03FFFCC,4,UI,explicit_or_general,Size of data to stream. Do not use if you are streaming the entire streaming section shown on page 172. Use only to stream a portion of the streaming section or some other portion of the memory map. Maximum data size: 1480 bytes.
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFD0,FFFFF03FFFD0,4,B,explicit_or_general,Streaming On/Off (Boolean). 0 = off; non-0 = on.
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFD4,FFFFF03FFFD4,4,UI,explicit_or_general,"Streaming Interval, in milliseconds (unsigned integer)"
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFD8,FFFFF03FFFD8,4,UI,explicit_or_general,UDP port number to stream to
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFDC,FFFFF03FFFDC,4,–,explicit_or_general,Reserved
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFE0,FFFFF03FFFE0,4,IP,explicit_or_general,Stream target IP address #1
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFE4,FFFFF03FFFE4,4,IP,explicit_or_general,Stream target IP address #2
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFE8,FFFFF03FFFE8,4,IP,explicit_or_general,Stream target IP address #3
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFEC,FFFFF03FFFEC,4,IP,explicit_or_general,Stream target IP address #4
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFF0,FFFFF03FFFF0,4,IP,explicit_or_general,Stream target IP address #5
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFF4,FFFFF03FFFF4,4,IP,explicit_or_general,Stream target IP address #6
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFF8,FFFFF03FFFF8,4,IP,explicit_or_general,Stream target IP address #7
streaming_config,DIGITAL BANK READ—READ ONLY,153,FFFF F03F FFFC,FFFFF03FFFFC,4,IP,explicit_or_general,Stream target IP address #8 Last valid address for this area: FFFF F03F FFFF
custom_config,CUSTOM CONFIGURATION AREA—WRITE,167,FFFF F0D5 0000,FFFFF0D50000,4,UI,explicit_or_general,Element 0: First memory map address for custom area
custom_config,CUSTOM CONFIGURATION AREA—WRITE,167,FFFF F0D5 0004,FFFFF0D50004,4,UI,explicit_or_general,Element 1: Next memory map address for custom area
